                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2238,                 1.5303,                 2.7399,                 1.0885,                0.95602,                0.97036,                 0.9884,                0.73188,                0.95602,                0.97036,                 0.9884,                0.75312,                0.92834,                 1.1783,                  2.962,                 0.9619,             0.00066102,             0.00066102,             0.00066102
                      1,                 1.1929,                 1.3181,                 1.6508,                 1.0954,                0.97289,                0.96132,                0.99067,                0.69857,                0.97289,                0.96132,                0.99067,                0.70826,                0.99261,                 1.2852,                 1.9033,                 1.0873,              0.0012948,              0.0012948,              0.0012948
                      2,                 1.2045,                 1.3041,                 1.2635,                 1.1156,                0.92837,                0.97321,                0.98887,                0.73845,                0.92837,                0.97321,                0.98887,                 0.7276,                0.97159,                  1.243,                0.91216,                 1.0723,              0.0018956,              0.0018956,              0.0018956
                      3,                  1.259,                 1.3599,                 1.0878,                 1.1388,                0.92578,                0.97321,                0.98146,                0.69928,                0.92578,                0.97321,                 0.9899,                0.69894,                 1.0114,                 1.2659,                 1.3661,                 1.0423,              0.0018515,              0.0018515,              0.0018515
                      4,                 1.1619,                 1.2714,                0.86302,                  1.095,                0.95625,                0.97581,                0.98627,                0.76067,                0.95625,                0.97581,                0.98627,                0.75998,                0.88538,                 1.1974,                0.66953,                0.99162,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.1356,                 1.2521,                0.76769,                 1.0758,                0.98216,                0.95536,                0.99156,                0.76068,                0.98216,                0.95536,                0.99156,                0.76201,                0.85945,                 1.1646,                0.56584,                0.97995,               0.001802,               0.001802,               0.001802
                      6,                 1.1437,                 1.2717,                0.74229,                 1.0817,                 0.9894,                0.96429,                0.99266,                0.73899,                 0.9894,                0.96429,                0.99385,                0.74795,                 0.9211,                 1.0794,                0.52954,                0.99518,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.0944,                  1.285,                0.70029,                 1.0583,                0.97217,                0.93582,                0.98155,                0.74947,                0.97217,                0.93582,                0.98875,                0.72033,                0.91851,                 1.1862,                0.57335,                0.99486,               0.001703,               0.001703,               0.001703
                      8,                 1.0992,                 1.2682,                0.67048,                 1.0547,                0.98177,                0.96145,                0.99378,                0.77933,                0.98177,                0.96145,                0.99378,                0.75009,                0.84815,                 1.1878,                0.52103,                0.97459,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.1064,                 1.2212,                0.64778,                  1.063,                 0.9632,                0.97321,                0.99103,                0.77402,                 0.9632,                0.97321,                0.99103,                0.75909,                0.84112,                 1.1128,                0.51011,                0.98005,               0.001604,               0.001604,               0.001604
