                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1836,                 3.0991,                 1.0739,                0.67723,                0.75224,                0.80028,                0.59636,                0.98929,                 1.2446,                 1.0195,             0.00012778,             0.00012778,             0.00012778
                      1,                 1.0082,                 1.1732,                 1.0112,                 0.9356,                0.96103,                0.97641,                0.73989,                0.91509,                0.66162,                0.97487,             0.00024978,             0.00024978,             0.00024978
                      2,                0.96468,                0.84414,                0.98768,                 0.9762,                0.97251,                 0.9798,                0.76032,                0.87504,                0.56662,                0.96362,             0.00036542,             0.00036542,             0.00036542
                      3,                0.93177,                0.74501,                0.97498,                0.98179,                0.97866,                0.98093,                0.77419,                0.84314,                0.51946,                0.95134,             0.00035641,             0.00035641,             0.00035641
                      4,                0.92733,                0.69329,                0.97275,                0.98603,                0.97567,                0.98254,                0.78101,                0.83122,                0.49345,                0.94316,             0.00035641,             0.00035641,             0.00035641
                      5,                0.90982,                0.65878,                0.96746,                0.97949,                0.97927,                0.98475,                0.77746,                0.83146,                0.47963,                0.94711,             0.00034689,             0.00034689,             0.00034689
                      6,                0.90568,                0.63617,                0.96642,                0.98546,                0.98015,                0.98571,                0.78487,                0.80437,                0.46298,                0.93901,             0.00033736,             0.00033736,             0.00033736
                      7,                0.89569,                0.61174,                0.96599,                 0.9854,                0.97908,                0.98445,                0.77685,                0.82207,                0.46022,                0.94389,             0.00032783,             0.00032783,             0.00032783
                      8,                0.88083,                0.59872,                0.96397,                0.98756,                0.98214,                0.98395,                0.77079,                0.85282,                0.44686,                0.95625,              0.0003183,              0.0003183,              0.0003183
                      9,                0.88204,                0.58469,                0.96176,                0.98271,                0.97967,                0.98497,                0.78653,                0.79665,                0.43036,                0.93475,             0.00030877,             0.00030877,             0.00030877
                     10,                0.85892,                0.55875,                0.95788,                0.98371,                0.98246,                0.98417,                 0.7859,                0.81494,                0.42689,                0.94431,             0.00029924,             0.00029924,             0.00029924
